uid,split,label,domain,n_sents,path_len,mean_step,p90_step,p95_step,step_cv,burstiness,straightness,dir_persistence,turn_mean_deg,frac_backtrack,avg_nn_dist,label_name,n_sents_log,log_path_len,log_mean_step,log_p90_step,log_avg_nn_dist,is_news
emozilla/pg19::pg19_00019,train,0,pg19,54,64.846923828125,1.2235268354415894,1.3885000944137573,1.4011633396148682,0.1204092155186523,1.1451839870010059,0.021286700628593103,-0.47396671772003174,118.47883605957031,1.0,0.9936081767082214,human,4.007333185232471,4.187332712263267,0.7990945999048192,0.8706655933763515,0.689946151081429,0
ai_gen::pg19_00019,train,1,pg19,61,74.6766357421875,1.2446105480194092,1.3636009693145752,1.3829950094223022,0.08268230600871662,1.1111869585405634,0.01823603412070434,-0.48202601075172424,118.96785736083984,1.0,1.0432231426239014,ai,4.127134385045092,4.326469470031789,0.8085320308758916,0.8601862905902355,0.714528532888169,0
emozilla/pg19::pg19_00005,train,0,pg19,29,33.06901550292969,1.1810362339019775,1.3344833850860596,1.3459265232086182,0.10685357944930264,1.1396149284605153,0.03980971972733619,-0.4873592257499695,119.41217041015625,1.0,1.0363924503326416,human,3.4011973816621555,3.5283883349515737,0.7798001005166016,0.8477906182846843,0.7111798356794395,0
ai_gen::pg19_00005,train,1,pg19,39,47.32991409301758,1.2455240488052368,1.3755255937576294,1.3974884748458862,0.0828675798434914,1.1220084238319592,0.024337599144629355,-0.48998862504959106,119.5025634765625,1.0,1.0532139539718628,ai,3.6888794541139363,3.878050708346983,0.8089389232657443,0.8652187156375799,0.7194063478877467,0
emozilla/pg19::pg19_00030,train,0,pg19,87,106.38436126708984,1.2370274066925049,1.3676903247833252,1.3890366554260254,0.08434018541879044,1.1228826846600202,0.013045511079989825,-0.5006176829338074,120.29373931884766,1.0,0.9973178505897522,human,4.477336814478207,4.676414559434033,0.8051479339718366,0.8619149334629207,0.6918052058093636,0
ai_gen::pg19_00030,train,1,pg19,32,37.839019775390625,1.2206135988235474,1.3215597867965698,1.3614237308502197,0.06889301036623116,1.1153601206485595,0.033680511659525014,-0.46997377276420593,118.15836334228516,1.0,1.0803229808807373,ai,3.4965075614664802,3.659425405601837,0.7977835535603502,0.8422392816661757,0.7325231609282339,0
cc_news::cc_00064,train,0,news,20,20.549896240234375,1.081573486328125,1.27411687374115,1.3054131269454956,0.15746448267440505,1.2069574036768276,0.06177758805776539,-0.4681585133075714,118.28062438964844,1.0,0.9003793597221375,human,3.044522437723423,3.0703710016998533,0.7331240915351686,0.8215917896721662,0.6420535292540398,0
ai_gen::cc_00064,train,1,news,33,36.85039520263672,1.1515748500823975,1.240182876586914,1.2889845371246338,0.0762288679941906,1.1193232789264935,0.02697555818463765,-0.5128921270370483,121.00465393066406,1.0,0.9852463603019714,ai,3.5263605246161616,3.633641421113934,0.7662000624112841,0.80655750386792,0.6857430174213838,0
cc_news::cc_00085,train,0,news,29,33.475921630859375,1.1955686807632446,1.353716254234314,1.4020283222198486,0.10284506589129447,1.172687395360364,0.035693615369678716,-0.47615960240364075,118.64886474609375,1.0,1.0078721046447754,human,3.4011973816621555,3.5402611566319537,0.7864410930460589,0.8559954638643839,0.6970755068950152,0
ai_gen::cc_00085,train,1,news,42,47.74580001831055,1.1645317077636719,1.3082752227783203,1.3263862133026123,0.08354680206364129,1.1389867742189874,0.020201679912753595,-0.47147291898727417,118.22802734375,1.0,1.016209602355957,ai,3.7612001156935624,3.88661904026188,0.772204036794068,0.8365005888407567,0.7012193142272741,0
